intervention,target,T/K,p/bar,effect_measure,common_support_cells,chemistry_pairs,control_pairs,median_chemistry_minus_control,bootstrap_95_low,bootstrap_95_high,positive_cell_fraction,control_status
metal_substitution,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,30,527,4585,-0.006125840640111624,-0.034908910113673516,0.013233492089633307,0.4666666666666667,crosses_zero
metal_substitution,methane_purification_CO2,298.0,0.1,absolute_uptake_difference,30,527,4585,0.050540499999999995,0.025988250000000004,0.17022824999999994,0.7333333333333333,above_control
metal_substitution,methane_purification_CO2,298.0,0.1,absolute_log_difference,30,527,4585,0.0628388377242412,0.036720923998524224,0.11172079270311269,0.8333333333333334,above_control
metal_substitution,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,30,527,4585,0.11609148237321382,0.05969498653131003,0.3910141348878232,0.7333333333333333,above_control
metal_substitution,methane_purification_CO2,298.0,1.0,absolute_uptake_difference,30,527,4585,0.08861899999999995,-0.01502824999999991,0.22741450000000007,0.6,crosses_zero
metal_substitution,methane_purification_CO2,298.0,1.0,absolute_log_difference,30,527,4585,0.04454728600877789,-0.004158654105539986,0.1042391249548997,0.6,crosses_zero
metal_substitution,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,30,527,4585,0.06041812401740719,-0.010245869082979904,0.1500281033380263,0.6,crosses_zero
metal_substitution,methane_storage_CH4,298.0,5.8,absolute_uptake_difference,30,527,4585,-0.02280049999999978,-0.03897174999999986,0.0010860000000002534,0.36666666666666664,crosses_zero
metal_substitution,methane_storage_CH4,298.0,5.8,absolute_log_difference,30,527,4585,-0.0011590105851323196,-0.00599180677132552,0.006994944557992197,0.4666666666666667,crosses_zero
metal_substitution,methane_storage_CH4,298.0,5.8,standardized_absolute_difference,30,527,4585,-0.014752238198922546,-0.025215260149069683,0.0007026569892780304,0.36666666666666664,crosses_zero
metal_substitution,methane_storage_CH4,298.0,65.0,absolute_uptake_difference,30,527,4585,0.005071000000000492,-0.05812674999999978,0.1335952500000015,0.5,crosses_zero
metal_substitution,methane_storage_CH4,298.0,65.0,absolute_log_difference,30,527,4585,0.010082532646340292,0.007842463983590675,0.014585254839944772,0.7333333333333333,above_control
metal_substitution,methane_storage_CH4,298.0,65.0,standardized_absolute_difference,30,527,4585,0.0007523341905832787,-0.008623691858111269,0.019820207902684336,0.5,crosses_zero
metal_substitution,post_combustion_CO2,298.0,0.015,absolute_uptake_difference,30,527,4585,0.03042125,0.0050550000000000005,0.1474435,0.7666666666666667,above_control
metal_substitution,post_combustion_CO2,298.0,0.015,absolute_log_difference,30,527,4585,0.08601780772171755,-0.005903016057676222,0.172183172969889,0.6666666666666666,crosses_zero
metal_substitution,post_combustion_CO2,298.0,0.015,standardized_absolute_difference,30,527,4585,0.4089034542542353,0.06794615478506504,1.981843496152668,0.7666666666666667,above_control
metal_substitution,post_combustion_CO2,298.0,0.15,absolute_uptake_difference,30,527,4585,0.029518500000000045,-3.724999999985684e-05,0.10631324999999994,0.6666666666666666,crosses_zero
metal_substitution,post_combustion_CO2,298.0,0.15,absolute_log_difference,30,527,4585,0.020059510062116065,-0.009246159504892396,0.031290961936865036,0.5666666666666667,crosses_zero
metal_substitution,post_combustion_CO2,298.0,0.15,standardized_absolute_difference,30,527,4585,0.041187532484457945,-0.00040533828570974047,0.14834020827288952,0.6666666666666666,crosses_zero
metal_substitution,post_combustion_N2,298.0,0.075,absolute_uptake_difference,30,527,4585,0.002119000000000001,0.0003682499999999962,0.008924499999999998,0.8,above_control
